START_ID,END_ID,TYPE
Zurich_en_b18,ORG_wädenswil_einsiedeln,MENTIONS
Zurich_en_b18,GPE_ricken_toggenburg,MENTIONS
Zurich_en_b18,ORG_lucerne_zug,MENTIONS
Zurich_en_b18,ORG_basel_brugg,MENTIONS
Zurich_en_b18,GPE_switzerland,MENTIONS
Zurich_en_b18,NORP_swiss,MENTIONS
Zurich_en_b20,GPE_zurich,MENTIONS
Zurich_en_b21,PERSON_uetliberg,MENTIONS
Zurich_en_b21,ORG_limmat,MENTIONS
Zurich_en_b21,ORG_schanzengraben,MENTIONS
Zurich_en_b21,ORG_limmat_bank,MENTIONS
Zurich_en_b21,ORG_seilergraben_hirschengraben,MENTIONS
Zurich_en_b21,GPE_bürkliplatz,MENTIONS
Zurich_en_b21,PRODUCT_stadthausplatz,MENTIONS
Zurich_en_b21,PERSON_enge,MENTIONS
Zurich_en_b21,NORP_bahnhofstrasse,MENTIONS
Zurich_en_b21,ORG_black_forest,MENTIONS
Zurich_en_b21,ORG_limmat,MENTIONS
Zurich_en_b22,PERSON_zollikon,MENTIONS
Zurich_en_b22,LOC_vrenelisgärtli,MENTIONS
Zurich_en_b22,PERSON_faulen,MENTIONS
Zurich_en_b22,PERSON_drusberg,MENTIONS
Zurich_en_b22,LOC_sihl_valley,MENTIONS
Zurich_en_b22,ORG_bifertenstock_tödi,MENTIONS
Zurich_en_b22,GPE_klariden,MENTIONS
Zurich_en_b22,LOC_scheerhorn,MENTIONS
Zurich_en_b22,GPE_düssistock,MENTIONS
Zurich_en_b22,GPE_mythen,MENTIONS
Zurich_en_b22,FAC_windgällen,MENTIONS
Zurich_en_b22,PERSON_kleinen_windgälle,MENTIONS
Zurich_en_b22,GPE_kaiserstock,MENTIONS
Zurich_en_b22,PERSON_rossberg,MENTIONS
Zurich_en_b22,GPE_bristenstock,MENTIONS
Zurich_en_b23,ORG_urnäsch_urirotstock,MENTIONS
Zurich_en_b23,PERSON_schlossstock,MENTIONS
Zurich_en_b23,ORG_wissig,MENTIONS
Zurich_en_b23,PERSON_hohen_ronen,MENTIONS
Zurich_en_b23,GPE_gottschalkenberg,MENTIONS
Zurich_en_b23,ORG_albis,MENTIONS
Zurich_en_b23,GPE_zimmerberg,MENTIONS
Zurich_en_b23,GPE_hütten,MENTIONS
Zurich_en_b23,GPE_schindellegi,MENTIONS
Zurich_en_b24,PERSON_quaibrücke,MENTIONS
Zurich_en_b24,ORG_limmat,MENTIONS
Zurich_en_b24,DATE_1885,MENTIONS
Zurich_en_b24,GPE_zwingli,MENTIONS
Zurich_en_b24,FAC_wasserkirche,MENTIONS
Zurich_en_b24,PERSON_helmhaus,MENTIONS
Zurich_en_b24,PERSON_grossmünster,MENTIONS
Zurich_en_b24,ORG_gothic,MENTIONS
Zurich_en_b24,GPE_zwingli,MENTIONS
Zurich_en_b24,DATE_1519_1531,MENTIONS
Zurich_en_b24,NORP_romanesque,MENTIONS
Zurich_en_b24,DATE_1078,MENTIONS
Zurich_en_b24,PERSON_charlemagne,MENTIONS
Zurich_en_b25,PERSON_limmatquai,MENTIONS
Zurich_en_b25,ORG_limmat,MENTIONS
Zurich_en_b25,DATE_1502,MENTIONS
Zurich_en_b25,DATE_1504,MENTIONS
Zurich_en_b25,DATE_1694,MENTIONS
Zurich_en_b25,DATE_today,MENTIONS
Zurich_en_b25,NORP_german,MENTIONS
Zurich_en_b25,GPE_zurich,MENTIONS
Zurich_en_b25,PERSON_gottfried_keller,MENTIONS
Zurich_en_b26,ORG_zurich_utoquai,MENTIONS
Zurich_en_b27,ORG_meyer_von_knonau,MENTIONS
Zurich_en_b27,DATE_1846,MENTIONS
Zurich_en_b27,PRODUCT_gemüsebrücke,MENTIONS
Zurich_en_b27,ORG_the_green_hill,MENTIONS
Zurich_en_b27,WORK_OF_ART_lindenhof,MENTIONS
Zurich_en_b27,PERSON_freemason,MENTIONS
Zurich_en_b27,ORG_st_peter_s_church,MENTIONS
Zurich_en_b27,GPE_zurich,MENTIONS
Zurich_en_b27,PERSON_schipfe,MENTIONS
Zurich_en_b27,GPE_wühre,MENTIONS
Zurich_en_b27,NORP_baroque,MENTIONS
Zurich_en_b27,ORG_fraumünster,MENTIONS
Zurich_en_b27,PERSON_ludwig,MENTIONS
Zurich_en_b27,NORP_german,MENTIONS
Zurich_en_b27,PERSON_hans_waldmann_s,MENTIONS
Zurich_en_b27,GPE_molasse,MENTIONS
Zurich_en_b27,PRODUCT_bäch,MENTIONS
Zurich_en_b27,ORG_bollingen,MENTIONS
Zurich_en_b27,NORP_melancholic,MENTIONS
Zurich_en_b27,PRODUCT_prediger,MENTIONS
Zurich_en_b27,ORG_the_roman_catholic_liebfrauenkirche,MENTIONS
Zurich_en_b27,ORG_limmat,MENTIONS
Zurich_en_b27,GPE_urania,MENTIONS
Zurich_en_b28,PRODUCT_münsterbrücke,MENTIONS
Zurich_en_b28,DATE_1838,MENTIONS
Zurich_en_b28,ORG_wallenstadtsee,MENTIONS
Zurich_en_b28,ORG_mellingen,MENTIONS
Zurich_en_b28,GPE_zurich,MENTIONS
Zurich_en_b28,PERSON_negrelli,MENTIONS
Zurich_en_b28,PERSON_konrad_stadler,MENTIONS
Zurich_en_b28,GPE_zurich,MENTIONS
Zurich_en_b29,GPE_zurich,MENTIONS
Zurich_en_b29,PERSON_lower_limmatquai,MENTIONS
Zurich_en_b30,ORG_fleischhalle,MENTIONS
Zurich_en_b30,PERSON_gemüsebrücke,MENTIONS
Zurich_en_b30,GPE_marktgasse,MENTIONS
Zurich_en_b30,GPE_switzerland,MENTIONS
Zurich_en_b30,GPE_switzerland,MENTIONS
Zurich_en_b30,GPE_zurich,MENTIONS
Zurich_en_b30,GPE_schmieden,MENTIONS
Zurich_en_b30,GPE_stüssihofstatt,MENTIONS
Zurich_en_b30,PERSON_knight_stüssi,MENTIONS
Zurich_en_b30,ORG_niederdorf,MENTIONS
Zurich_en_b30,PERSON_leonhardplatz,MENTIONS
Zurich_en_b31,ORG_limmat,MENTIONS
Zurich_en_b31,PERSON_sihl,MENTIONS
Zurich_en_b31,ORG_northeastern_railway_company,MENTIONS
Zurich_en_b31,DATE_today,MENTIONS
Zurich_en_b31,GPE_zurich,MENTIONS
Zurich_en_b32,GPE_zurich,MENTIONS
Zurich_en_b33,ORG_the_swiss_national_museum,MENTIONS
Zurich_en_b33,GPE_zurich,MENTIONS
Zurich_en_b33,PERSON_ferdinand_keller_s,MENTIONS
Zurich_en_b33,PERSON_helmhaus,MENTIONS
Zurich_en_b33,PERSON_hodler,MENTIONS
Zurich_en_b33,NORP_swiss,MENTIONS
Zurich_en_b33,ORG_marignano,MENTIONS
Zurich_en_b34,ORG_gothic,MENTIONS
Zurich_en_b34,PERSON_abbey_zurich,MENTIONS
Zurich_en_b34,DATE_1489,MENTIONS
Zurich_en_b34,DATE_1507,MENTIONS
Zurich_en_b34,ORG_the_national_museum,MENTIONS
Zurich_en_b34,DATE_1891,MENTIONS
Zurich_en_b34,ORG_confederation,MENTIONS
Zurich_en_b34,DATE_june_25_1898,MENTIONS
Zurich_en_b34,ORG_limmat,MENTIONS
Zurich_en_b34,PERSON_sihl,MENTIONS
Zurich_en_b34,ORG_the_minnesinger_hadlaub,MENTIONS
Zurich_en_b34,PERSON_gessner,MENTIONS
Zurich_en_b34,PERSON_wilhelm_baumgartner,MENTIONS
Zurich_en_b34,PERSON_gottfried_keller_s,MENTIONS
Zurich_en_b35,PERSON_alfred_escher,MENTIONS
Zurich_en_b35,PERSON_richard_kisling,MENTIONS
Zurich_en_b35,DATE_1889,MENTIONS
Zurich_en_b35,NORP_bahnhofstrasse,MENTIONS
Zurich_en_b35,GPE_paradeplatz,MENTIONS
Zurich_en_b35,PERSON_oetenbach,MENTIONS
Zurich_en_b35,GPE_uraniastrasse,MENTIONS
Zurich_en_b35,GPE_lindenhof,MENTIONS
Zurich_en_b35,GPE_strohhof,MENTIONS
Zurich_en_b35,GPE_st_anna,MENTIONS
Zurich_en_b35,PERSON_katz,MENTIONS
Zurich_en_b35,NORP_french,MENTIONS
Zurich_en_b35,PERSON_pestalozzi,MENTIONS
Zurich_en_b35,GPE_kappelerhof,MENTIONS
Zurich_en_b35,GPE_zurich,MENTIONS
Zurich_en_b35,ORG_swiss_bank_association,MENTIONS
Zurich_en_b35,ORG_swiss_credit_institution,MENTIONS
Zurich_en_b35,ORG_bank_leu,MENTIONS
Zurich_en_b35,ORG_zurich_cantonal_bank,MENTIONS
Zurich_en_b35,ORG_swiss_people_s_bank_on_bahnhofstrasse,MENTIONS
Zurich_en_b35,ORG_the_swiss_bank_association,MENTIONS
Zurich_en_b35,PERSON_richard_kisling,MENTIONS
Zurich_en_b35,NORP_augustinergasse,MENTIONS
Zurich_en_b36,PERSON_alpenquai,MENTIONS
Zurich_en_b36,DATE_1881,MENTIONS
Zurich_en_b36,DATE_1887,MENTIONS
Zurich_en_b36,NORP_linth,MENTIONS
Zurich_en_b36,PERSON_walensee,MENTIONS
Zurich_en_b36,PERSON_speer,MENTIONS
Zurich_en_b36,GPE_jurassic,MENTIONS
Zurich_en_b36,ORG_glärnisch,MENTIONS
Zurich_en_b37,GPE_quay,MENTIONS
Zurich_en_b37,PERSON_a_bürkli,MENTIONS
Zurich_en_b37,PERSON_albert_heim,MENTIONS
Zurich_en_b37,GPE_tonhalle,MENTIONS
Zurich_en_b37,FAC_the_zurich_trocadero,MENTIONS
Zurich_en_b37,NORP_viennese,MENTIONS
Zurich_en_b37,PERSON_fellner,MENTIONS
Zurich_en_b37,DATE_1895,MENTIONS
Zurich_en_b37,PERSON_palais_henneberg,MENTIONS
Zurich_en_b37,PERSON_savonnières,MENTIONS
Zurich_en_b37,NORP_swiss,MENTIONS
Zurich_en_b37,GPE_zurich,MENTIONS
Zurich_en_b37,PERSON_alfred_escher,MENTIONS
Zurich_en_b37,ORG_gotthard,MENTIONS
Zurich_en_b37,PERSON_lydia_welti_escher,MENTIONS
Zurich_en_b37,ORG_confederation,MENTIONS
Zurich_en_b38,GPE_belvoirpark,MENTIONS
Zurich_en_b38,PERSON_waffenplatzstrasse,MENTIONS
Zurich_en_b38,PERSON_sihl,MENTIONS
Zurich_en_b38,GPE_zimmerberg,MENTIONS
Zurich_en_b38,PERSON_albiskette,MENTIONS
Zurich_en_b38,PERSON_uto,MENTIONS
Zurich_en_b38,GPE_uetliberg,MENTIONS
Zurich_en_b38,PERSON_albisgütli,MENTIONS
Zurich_en_b39,NORP_theresienwiese,MENTIONS
Zurich_en_b39,FAC_the_munich_oktoberfest,MENTIONS
Zurich_en_b39,PERSON_albisgütli,MENTIONS
Zurich_en_b39,PERSON_uetliberg,MENTIONS
Zurich_en_b39,PERSON_uetliberg,MENTIONS
Zurich_en_b40,PERSON_sihl,MENTIONS
Zurich_en_b40,PERSON_sihl,MENTIONS
Zurich_en_b40,PRODUCT_sihlhölzli,MENTIONS
Zurich_en_b40,GPE_wiedikon,MENTIONS
Zurich_en_b40,PERSON_wiedikon,MENTIONS
Zurich_en_b40,PERSON_aussersihl,MENTIONS
Zurich_en_b41,PERSON_aussersihl,MENTIONS
Zurich_en_b41,PERSON_sihl,MENTIONS
Zurich_en_b41,GPE_badenerstrasse,MENTIONS
Zurich_en_b41,GPE_st_jakob_s,MENTIONS
Zurich_en_b41,DATE_1901,MENTIONS
Zurich_en_b41,GPE_langstrasse,MENTIONS
Zurich_en_b41,DATE_sundays,MENTIONS
Zurich_en_b41,PERSON_zurichberg,MENTIONS
Zurich_en_b41,PERSON_uetliberg,MENTIONS
Zurich_en_b42,GPE_zurich,MENTIONS
Zurich_en_b43,GPE_zurich,MENTIONS
Zurich_en_b43,PERSON_limmatplatz,MENTIONS
Zurich_en_b43,ORG_oerlikon,MENTIONS
Zurich_en_b44,ORG_sihl_bank,MENTIONS
Zurich_en_b44,PERSON_sihlquai,MENTIONS
Zurich_en_b44,ORG_escher_wyss_co,MENTIONS
Zurich_en_b44,ORG_steinfels,MENTIONS
Zurich_en_b44,PERSON_sihlquai,MENTIONS
Zurich_en_b44,ORG_limmat,MENTIONS
Zurich_en_b44,GPE_letten,MENTIONS
Zurich_en_b44,PERSON_wipkinger_bridge,MENTIONS
Zurich_en_b44,ORG_limmat,MENTIONS
Zurich_en_b44,GPE_hoengg,MENTIONS
Zurich_en_b44,GPE_käferberg,MENTIONS
Zurich_en_b44,ORG_limmat,MENTIONS
Zurich_en_b44,GPE_wipkingen,MENTIONS
Zurich_en_b44,PERSON_röschibachstrasse,MENTIONS
Zurich_en_b44,ORG_nordstrasse,MENTIONS
Zurich_en_b44,ORG_rotbuchstrasse,MENTIONS
Zurich_en_b44,GPE_rötel,MENTIONS
Zurich_en_b44,PERSON_weinbergstrasse,MENTIONS
Zurich_en_b44,ORG_unterstrass,MENTIONS
Zurich_en_b44,PERSON_leonhardsplatz,MENTIONS
Zurich_en_b44,PERSON_bahnhofbrücke,MENTIONS
Zurich_en_b45,GPE_zurich,MENTIONS
Zurich_en_b45,PERSON_wiedikon,MENTIONS
Zurich_en_b46,ORG_riedlistrasse,MENTIONS
Zurich_en_b46,DATE_rigi_quarter,MENTIONS
Zurich_en_b46,ORG_höhenstrasse,MENTIONS
Zurich_en_b46,GPE_schlieren,MENTIONS
Zurich_en_b47,ORG_limmat,MENTIONS
Zurich_en_b47,PERSON_sihl,MENTIONS
Zurich_en_b47,GPE_uetliberg,MENTIONS
Zurich_en_b47,PERSON_zurichberg,MENTIONS
Zurich_en_b47,PERSON_sihl,MENTIONS
Zurich_en_b47,GPE_zurich,MENTIONS
Zurich_en_b48,ORG_höhenstrasse,MENTIONS
Zurich_en_b48,ORG_the_swiss_federal_polytechnic_school,MENTIONS
Zurich_en_b48,DATE_1855,MENTIONS
Zurich_en_b49,PERSON_gottfried_semper,MENTIONS
Zurich_en_b49,DATE_1864,MENTIONS
Zurich_en_b49,PERSON_graf,MENTIONS
Zurich_en_b49,PERSON_kappeler,MENTIONS
Zurich_en_b49,ORG_hörbst,MENTIONS
Zurich_en_b49,PERSON_kopp,MENTIONS
Zurich_en_b49,GPE_bolley,MENTIONS
Zurich_en_b49,ORG_semper_and_culmann_richard_kisling,MENTIONS
Zurich_en_b50,PERSON_sgraffito,MENTIONS
Zurich_en_b50,ORG_university,MENTIONS
Zurich_en_b50,DATE_1886,MENTIONS
Zurich_en_b50,NORP_swiss,MENTIONS
Zurich_en_b50,DATE_1890,MENTIONS
Zurich_en_b50,NORP_swiss,MENTIONS
Zurich_en_b50,DATE_1832,MENTIONS
Zurich_en_b50,DATE_spring_1909,MENTIONS
Zurich_en_b50,ORG_university,MENTIONS
Zurich_en_b50,ORG_rämistrasse,MENTIONS
