event_id,page
e1,Lausanne_geo_en
e2,Lausanne_geo_en
e3,Lausanne_geo_en
e4,Lausanne_geo_en
e5,Lausanne_geo_en
e6,Lausanne_geo_en
e7,Lausanne_geo_en
e8,Lausanne_geo_en
e9,Lausanne_geo_en
e10,Lausanne_geo_en
e11,Lausanne_geo_en
e12,Lausanne_geo_en
e13,Lausanne_geo_en
e14,Lausanne_geo_en
e15,Lausanne_geo_en
e16,Lausanne_geo_en
e17,Lausanne_geo_en
e18,Lausanne_geo_en
e19,Lausanne_geo_en
e20,Lausanne_geo_en
e21,Lausanne_geo_en
e22,Lausanne_geo_en
e23,Lausanne_geo_en
e24,Lausanne_geo_en
e25,Lausanne_geo_en
e26,Lausanne_geo_en
e27,Lausanne_geo_en
e28,Lausanne_geo_en
e29,Lausanne_geo_en
e30,Lausanne_geo_en
e31,Lausanne_geo_en
e32,Lausanne_geo_en
e33,Lausanne_geo_en
e34,Lausanne_geo_en
e35,Lausanne_geo_en
e36,Lausanne_geo_en
e37,Lausanne_geo_en
e38,Lausanne_geo_en
e39,Lausanne_geo_en
e40,Lausanne_geo_en
e41,Lausanne_geo_en
e42,Lausanne_geo_en
e43,Lausanne_geo_en
e44,Lausanne_geo_en
e45,Lausanne_geo_en
e46,Lausanne_geo_en
e47,Lausanne_geo_en
e48,Lausanne_geo_en
e49,Lausanne_geo_en
e50,Lausanne_geo_en
e51,Lausanne_geo_en
e52,Lausanne_geo_en
e53,Lausanne_geo_en
e54,Lausanne_geo_en
e55,Lausanne_geo_en
e56,Lausanne_geo_en
e57,Lausanne_geo_en
e58,Lausanne_geo_en
e59,Lausanne_geo_en
e60,Lausanne_geo_en
e61,Lausanne_geo_en
e62,Lausanne_geo_en
e63,Lausanne_geo_en
e64,Lausanne_geo_en
e65,Lausanne_geo_en
e66,Lausanne_geo_en
e67,Lausanne_geo_en
e68,Lausanne_geo_en
e69,Lausanne_geo_en
e70,Lausanne_geo_en
e71,Lausanne_geo_en
e72,Lausanne_geo_en
e73,Lausanne_geo_en
e74,Lausanne_geo_en
e75,Lausanne_geo_en
e76,Lausanne_geo_en
e77,Lausanne_geo_en
e78,Lausanne_geo_en
e79,Lausanne_geo_en
e80,Lausanne_geo_en
e81,Lausanne_geo_en
e82,Lausanne_geo_en
e83,Lausanne_geo_en
e84,Lausanne_geo_en
e85,Lausanne_geo_en
e86,Lausanne_geo_en
e87,Lausanne_geo_en
e88,Lausanne_geo_en
e89,Lausanne_geo_en
e90,Lausanne_geo_en
e91,Lausanne_geo_en
e92,Lausanne_geo_en
e93,Lausanne_geo_en
e94,Lausanne_geo_en
e95,Lausanne_geo_en
e96,Lausanne_geo_en
e97,Lausanne_geo_en
e98,Lausanne_geo_en
e99,Lausanne_geo_en
e100,Lausanne_geo_en
e101,Lausanne_geo_en
e102,Lausanne_geo_en
e103,Lausanne_geo_en
e104,Lausanne_geo_en
e105,Lausanne_geo_en
e106,Lausanne_geo_en
e107,Lausanne_geo_en
e108,Lausanne_geo_en
e109,Lausanne_geo_en
e110,Lausanne_geo_en
e111,Lausanne_geo_en
e112,Lausanne_geo_en
e113,Lausanne_geo_en
e114,Lausanne_geo_en
e115,Lausanne_geo_en
e116,Lausanne_geo_en
e117,Lausanne_geo_en
e118,Lausanne_geo_en
e119,Lausanne_geo_en
e120,Lausanne_geo_en
e121,Lausanne_geo_en
e122,Lausanne_geo_en
e123,Lausanne_geo_en
e124,Lausanne_geo_en
e125,Lausanne_geo_en
e126,Lausanne_geo_en
e127,Lausanne_geo_en
e128,Lausanne_geo_en
e129,Lausanne_geo_en
e130,Lausanne_geo_en
e131,Lausanne_geo_en
e132,Lausanne_geo_en
e133,Lausanne_geo_en
e134,Lausanne_geo_en
e135,Lausanne_geo_en
e136,Lausanne_geo_en
e137,Lausanne_geo_en
e138,Lausanne_geo_en
e139,Lausanne_geo_en
e140,Lausanne_geo_en
e141,Lausanne_geo_en
e142,Lausanne_geo_en
e143,Lausanne_geo_en
e144,Lausanne_geo_en
e145,Lausanne_geo_en
e146,Lausanne_geo_en
e147,Lausanne_geo_en
e148,Lausanne_geo_en
e149,Lausanne_geo_en
e150,Lausanne_geo_en
e151,Lausanne_geo_en
e152,Lausanne_geo_en
e153,Lausanne_geo_en
e154,Lausanne_geo_en
e155,Lausanne_geo_en
e156,Lausanne_geo_en
e157,Lausanne_geo_en
e158,Lausanne_geo_en
e159,Lausanne_geo_en
e160,Lausanne_geo_en
e161,Lausanne_geo_en
e162,Lausanne_geo_en
e163,Lausanne_geo_en
e164,Lausanne_geo_en
e165,Lausanne_geo_en
e166,Lausanne_geo_en
e167,Lausanne_geo_en
e168,Lausanne_geo_en
e169,Lausanne_geo_en
e170,Lausanne_geo_en
e171,Lausanne_geo_en
e172,Lausanne_geo_en
e173,Lausanne_geo_en
e174,Lausanne_geo_en
e175,Lausanne_geo_en
e176,Lausanne_geo_en
e177,Lausanne_geo_en
e178,Lausanne_geo_en
e179,Lausanne_geo_en
e180,Lausanne_geo_en
e181,Lausanne_geo_en
e182,Lausanne_geo_en
e183,Lausanne_geo_en
e184,Lausanne_geo_en
e185,Lausanne_geo_en
e186,Lausanne_geo_en
e187,Lausanne_geo_en
e188,Lausanne_geo_en
e189,Lausanne_geo_en
e190,Lausanne_geo_en
e191,Lausanne_geo_en
e192,Lausanne_geo_en
e193,Lausanne_geo_en
e194,Lausanne_geo_en
e195,Lausanne_geo_en
e196,Lausanne_geo_en
e197,Lausanne_geo_en
e198,Lausanne_geo_en
e199,Lausanne_geo_en
e200,Lausanne_geo_en
e201,Lausanne_geo_en
e202,Lausanne_geo_en
e203,Lausanne_geo_en
e204,Lausanne_geo_en
e205,Lausanne_geo_en
e206,Lausanne_geo_en
e207,Lausanne_geo_en
e208,Lausanne_geo_en
e209,Lausanne_geo_en
e210,Lausanne_geo_en
e211,Lausanne_geo_en
e212,Lausanne_geo_en
e213,Lausanne_geo_en
e214,Lausanne_geo_en
e215,Lausanne_geo_en
e216,Lausanne_geo_en
e217,Lausanne_geo_en
e218,Lausanne_geo_en
e219,Lausanne_geo_en
e220,Lausanne_geo_en
e221,Lausanne_geo_en
e222,Lausanne_geo_en
e223,Lausanne_geo_en
e224,Lausanne_geo_en
e225,Lausanne_geo_en
e226,Lausanne_geo_en
e227,Lausanne_geo_en
e228,Lausanne_geo_en
e229,Lausanne_geo_en
e230,Lausanne_geo_en
e231,Lausanne_geo_en
e232,Lausanne_geo_en
e233,Lausanne_geo_en
e234,Lausanne_geo_en
e235,Lausanne_geo_en
e236,Lausanne_geo_en
e237,Lausanne_geo_en
e238,Lausanne_geo_en
e239,Lausanne_geo_en
e240,Lausanne_geo_en
e241,Lausanne_geo_en
e242,Lausanne_geo_en
e243,Lausanne_geo_en
e244,Lausanne_geo_en
e245,Lausanne_geo_en
e246,Lausanne_geo_en
e247,Lausanne_geo_en
e248,Lausanne_geo_en
e249,Lausanne_geo_en
e250,Lausanne_geo_en
e251,Lausanne_geo_en
e252,Lausanne_geo_en
e253,Lausanne_geo_en
e254,Lausanne_geo_en
e255,Lausanne_geo_en
e256,Lausanne_geo_en
e257,Lausanne_geo_en
e258,Lausanne_geo_en
e259,Lausanne_geo_en
e260,Lausanne_geo_en
e261,Lausanne_geo_en
e262,Lausanne_geo_en
e263,Lausanne_geo_en
e264,Lausanne_geo_en
e265,Lausanne_geo_en
e266,Lausanne_geo_en
e267,Lausanne_geo_en
e268,Lausanne_geo_en
e269,Lausanne_geo_en
e270,Lausanne_geo_en
e271,Lausanne_geo_en
e272,Lausanne_geo_en
e273,Lausanne_geo_en
e274,Lausanne_geo_en
e275,Lausanne_geo_en
e276,Lausanne_geo_en
e277,Lausanne_geo_en
e278,Lausanne_geo_en
e279,Lausanne_geo_en
e280,Lausanne_geo_en
e281,Lausanne_geo_en
e282,Lausanne_geo_en
e283,Lausanne_geo_en
e284,Lausanne_geo_en
e285,Lausanne_geo_en
e286,Lausanne_geo_en
e287,Lausanne_geo_en
e288,Lausanne_geo_en
e289,Lausanne_geo_en
e290,Lausanne_geo_en
e291,Lausanne_geo_en
e292,Lausanne_geo_en
e293,Lausanne_geo_en
e294,Lausanne_geo_en
e295,Lausanne_geo_en
e296,Lausanne_geo_en
e297,Lausanne_geo_en
e298,Lausanne_geo_en
e299,Lausanne_geo_en
e300,Lausanne_geo_en
e301,Lausanne_geo_en
e302,Lausanne_geo_en
e303,Lausanne_geo_en
e304,Lausanne_geo_en
e305,Lausanne_geo_en
e306,Lausanne_geo_en
e307,Lausanne_geo_en
e308,Lausanne_geo_en
e309,Lausanne_geo_en
e310,Lausanne_geo_en
e311,Lausanne_geo_en
e312,Lausanne_geo_en
e313,Lausanne_geo_en
e314,Lausanne_geo_en
e315,Lausanne_geo_en
e316,Lausanne_geo_en
e317,Lausanne_geo_en
e318,Lausanne_geo_en
e319,Lausanne_geo_en
e320,Lausanne_geo_en
e321,Lausanne_geo_en
e322,Lausanne_geo_en
e323,Lausanne_geo_en
e324,Lausanne_geo_en
e325,Lausanne_geo_en
e326,Lausanne_geo_en
e327,Lausanne_geo_en
e328,Lausanne_geo_en
e329,Lausanne_geo_en
e330,Lausanne_geo_en
e331,Lausanne_geo_en
e332,Lausanne_geo_en
e333,Lausanne_geo_en
e334,Lausanne_geo_en
e335,Lausanne_geo_en
e336,Lausanne_geo_en
e337,Lausanne_geo_en
e338,Lausanne_geo_en
e339,Lausanne_geo_en
e340,Lausanne_geo_en
e341,Lausanne_geo_en
e342,Lausanne_geo_en
e343,Lausanne_geo_en
e344,Lausanne_geo_en
e345,Lausanne_geo_en
e346,Lausanne_geo_en
e347,Lausanne_geo_en
e348,Lausanne_geo_en
e349,Lausanne_geo_en
e350,Lausanne_geo_en
e351,Lausanne_geo_en
e352,Lausanne_geo_en
e353,Lausanne_geo_en
e354,Lausanne_geo_en
e355,Lausanne_geo_en
e356,Lausanne_geo_en
e357,Lausanne_geo_en
e358,Lausanne_geo_en
e359,Lausanne_geo_en
e360,Lausanne_geo_en
e361,Lausanne_geo_en
e362,Lausanne_geo_en
e363,Lausanne_geo_en
e364,Lausanne_geo_en
e365,Lausanne_geo_en
e366,Lausanne_geo_en
e367,Lausanne_geo_en
e368,Lausanne_geo_en
e369,Lausanne_geo_en
e370,Lausanne_geo_en
e371,Lausanne_geo_en
e372,Lausanne_geo_en
e373,Lausanne_geo_en
e374,Lausanne_geo_en
e375,Lausanne_geo_en
e376,Lausanne_geo_en
e377,Lausanne_geo_en
e378,Lausanne_geo_en
e379,Lausanne_geo_en
e380,Lausanne_geo_en
